RESULTADO	PROGRAMA	CLASIFICACION	NPERSONAS	NIVELEDUC	OCUPADO	HOMBRE
1.1210382	0	-1	5	2	1	0
.16743879	0	-6	5	5	0	1
.38510016	1	2	5	5	1	0
.22495534	0	-2	6	2	1	0
.25017738	0	-2	6	3	1	1
-.13341936	0	-2	6	3	1	1
1.1948872	0	-3	6	3	1	0
.026482526	1	1	6	5	1	1
.34803194	0	-1	4	0	1	0
.17627759	0	-2	7	5	1	1
-.11762904	0	-10	12	2	0	0
.25530365	0	-3	5	7	0	0
.2651515	0	-1	5	3	1	0
-.10989021	0	-9	5	1	0	0
.45610175	0	-3	4	4	0	0
.52642345	1	5	4	11	0	1
.42936102	0	-2	7	5	1	1
.29236266	0	-4	8	3	1	0
-.11790746	0	-7	9	4	1	0
