INVSALES	treat	s	chica	id_firma	grande	PET	s2	s3	streat	streat2	streat3	notreat	snotreat	snotreat2	snotreat3	schica	schica2	schica3	sgrande	sgrande2	sgrande3	treatchica	streatchica	streatchica2	streatchica3	treatgrande	streatgrande	streatgrande2	streatgrande3	_est_A
.02349486	1	4	1	164	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
.033772182	1	14	1	161	0	89	196	2744	14	196	2744	0	0	0	0	14	196	2744	0	0	0	1	14	196	2744	0	0	0	0	1
.14233954	1	3	1	283	0	78	9	27	3	9	27	0	0	0	0	3	9	27	0	0	0	1	3	9	27	0	0	0	0	1
-.0048271869	1	8	1	193	0	83	64	512	8	64	512	0	0	0	0	8	64	512	0	0	0	1	8	64	512	0	0	0	0	1
.00795756	1	10	1	151	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
.00036663612	1	3	1	19	0	78	9	27	3	9	27	0	0	0	0	3	9	27	0	0	0	1	3	9	27	0	0	0	0	1
-.021784019	1	10	1	222	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
.13350062	1	11	1	296	0	86	121	1331	11	121	1331	0	0	0	0	11	121	1331	0	0	0	1	11	121	1331	0	0	0	0	1
-.012987013	1	8	1	316	0	83	64	512	8	64	512	0	0	0	0	8	64	512	0	0	0	1	8	64	512	0	0	0	0	1
.17464685	1	12	1	263	0	87	144	1728	12	144	1728	0	0	0	0	12	144	1728	0	0	0	1	12	144	1728	0	0	0	0	1
.059657287	1	8	1	85	0	83	64	512	8	64	512	0	0	0	0	8	64	512	0	0	0	1	8	64	512	0	0	0	0	1
.024542267	1	3	1	180	0	78	9	27	3	9	27	0	0	0	0	3	9	27	0	0	0	1	3	9	27	0	0	0	0	1
.00072193478	1	14	1	68	0	89	196	2744	14	196	2744	0	0	0	0	14	196	2744	0	0	0	1	14	196	2744	0	0	0	0	1
.016990716	1	12	1	341	0	87	144	1728	12	144	1728	0	0	0	0	12	144	1728	0	0	0	1	12	144	1728	0	0	0	0	1
.10062045	1	7	1	2	0	82	49	343	7	49	343	0	0	0	0	7	49	343	0	0	0	1	7	49	343	0	0	0	0	1
.29238197	1	7	1	158	0	82	49	343	7	49	343	0	0	0	0	7	49	343	0	0	0	1	7	49	343	0	0	0	0	1
-.026631549	1	1	1	155	0	76	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1
.11034483	1	14	1	185	0	89	196	2744	14	196	2744	0	0	0	0	14	196	2744	0	0	0	1	14	196	2744	0	0	0	0	1
.13105924	1	0	1	172	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
